key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,back1.thisRepN,back1.thisTrialN,back1.thisN,back1.thisIndex,back1.ran,letter,back2.thisRepN,back2.thisTrialN,back2.thisN,back2.thisIndex,back2.ran,back3.thisRepN,back3.thisTrialN,back3.thisN,back3.thisIndex,back3.ran,back4.thisRepN,back4.thisTrialN,back4.thisN,back4.thisIndex,back4.ran,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,6.733695,space,1.360295,space,1.1942,space,3.04989,k,0.24394,num_enter,65.869355,,Too slow :(,0,0,0,2,1,t3.png,t2.png,1,0.90855,52,Female,2020-12-01_12h30.17.864,torte-2b,2020.1.3,Win32,60,14114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,1,1,26,1,t4.png,t2.png,2,0.0591,52,Female,2020-12-01_12h30.17.864,torte-2b,2020.1.3,Win32,60,14114,0.680525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,2,2,42,1,t5.png,t4.png,1,0.90025,52,Female,2020-12-01_12h30.17.864,torte-2b,2020.1.3,Win32,60,14114,1.584775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,3,3,34,1,t5.png,t4.png,1,0.9,52,Female,2020-12-01_12h30.17.864,torte-2b,2020.1.3,Win32,60,14114,1.01521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,4,4,68,1,t1.png,t4.png,3,0.0000131,52,Female,2020-12-01_12h30.17.864,torte-2b,2020.1.3,Win32,60,14114,0.71573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,5,5,48,1,t5.png,t5.png,0,0.97829,52,Female,2020-12-01_12h30.17.864,torte-2b,2020.1.3,Win32,60,14114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,6,6,6,1,t1.png,t4.png,3,0.0000131,52,Female,2020-12-01_12h30.17.864,torte-2b,2020.1.3,Win32,60,14114,1.898645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,7,7,43,1,t4.png,t2.png,2,0.059078,52,Female,2020-12-01_12h30.17.864,torte-2b,2020.1.3,Win32,60,14114,0.898115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,8,8,18,1,t4.png,t5.png,1,0.90025,52,Female,2020-12-01_12h30.17.864,torte-2b,2020.1.3,Win32,60,14114,1.151785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,9,9,22,1,t2.png,t3.png,1,0.90855,52,Female,2020-12-01_12h30.17.864,torte-2b,2020.1.3,Win32,60,14114,2.26898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
