key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,0.998355,space,1.58065,space,0.98049,space,3.233645,space,19.38689,left,36.99818,a,1.66659,Correct!,0,0,0,105,1,t3.png,t2.png,1,0.90855,19,female,2020-11-05_13h34.12.129,torte-q,2020.1.3,MacIntel,60,13325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.15,Incorrect,0,1,1,36,1,t3.png,t1.png,2,0.0565,19,female,2020-11-05_13h34.12.129,torte-q,2020.1.3,MacIntel,60,13325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.430635,Incorrect,0,2,2,70,1,t5.png,t5.png,0,0.978,19,female,2020-11-05_13h34.12.129,torte-q,2020.1.3,MacIntel,60,13325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.73498,Incorrect,0,3,3,112,1,t1.png,t1.png,0,0.97829,19,female,2020-11-05_13h34.12.129,torte-q,2020.1.3,MacIntel,60,13325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.547725,Correct!,0,4,4,66,1,t4.png,t5.png,1,0.9,19,female,2020-11-05_13h34.12.129,torte-q,2020.1.3,MacIntel,60,13325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,5,5,40,1,t1.png,t5.png,4,9.55E-11,19,female,2020-11-05_13h34.12.129,torte-q,2020.1.3,MacIntel,60,13325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.038295,Incorrect,0,6,6,90,1,t1.png,t5.png,4,9.55E-11,19,female,2020-11-05_13h34.12.129,torte-q,2020.1.3,MacIntel,60,13325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.49908,Correct!,0,7,7,63,1,t2.png,t3.png,1,0.909,19,female,2020-11-05_13h34.12.129,torte-q,2020.1.3,MacIntel,60,13325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.96439,Incorrect,0,8,8,12,1,t5.png,t1.png,4,9.55E-11,19,female,2020-11-05_13h34.12.129,torte-q,2020.1.3,MacIntel,60,13325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,2.333505,Correct!,0,9,9,25,1,t5.png,t5.png,0,0.97829,19,female,2020-11-05_13h34.12.129,torte-q,2020.1.3,MacIntel,60,13325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
