key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,31.069915,space,274.54154,space,2.040745,space,6.9528,space,24.21616,space,39.414345,,Too slow :(,0,0,0,74,1,t5.png,t4.png,1,0.9,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,1,1,81,1,t1.png,t1.png,0,0.97829,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.34592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,2,2,33,1,t5.png,t1.png,4,9.55E-11,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.731075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,3,3,9,1,t4.png,t5.png,1,0.9,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,2.184645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,4,4,68,1,t1.png,t4.png,3,0.0000131,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,5,5,69,1,t4.png,t2.png,2,0.059078,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.91968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,6,6,108,1,t5.png,t1.png,4,9.55E-11,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.45251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,7,7,35,1,t1.png,t4.png,3,0.0000131,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,2.22944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,8,8,92,1,t2.png,t3.png,1,0.909,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.65777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,9,9,46,1,t4.png,t2.png,2,0.059078,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,2.33166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,10,10,25,1,t5.png,t5.png,0,0.97829,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,11,11,30,1,t3.png,t1.png,2,0.056466,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.804205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
