key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,back1.thisRepN,back1.thisTrialN,back1.thisN,back1.thisIndex,back1.ran,letter,back2.thisRepN,back2.thisTrialN,back2.thisN,back2.thisIndex,back2.ran,back3.thisRepN,back3.thisTrialN,back3.thisN,back3.thisIndex,back3.ran,back4.thisRepN,back4.thisTrialN,back4.thisN,back4.thisIndex,back4.ran,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,1.996955,space,0.625405,space,2.28322,space,0.70138,space,7.3058,space,18.800915,l,2.31752,Correct!,0,0,0,119,1,t1.png,t5.png,4,9.55E-11,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.31761,Incorrect,0,1,1,101,1,t4.png,t5.png,1,0.90025,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,2,2,13,1,t5.png,t5.png,0,0.97829,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.32628,Correct!,0,3,3,1,1,t2.png,t4.png,2,0.059078,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.783445,Incorrect,0,4,4,63,1,t2.png,t3.png,1,0.909,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.86752,Correct!,0,5,5,52,1,t2.png,t4.png,2,0.059078,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,6,6,82,1,t5.png,t1.png,4,9.55E-11,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.635285,Incorrect,0,7,7,110,1,t4.png,t5.png,1,0.90025,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.68731,Correct!,0,8,8,74,1,t5.png,t4.png,1,0.9,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.901995,Correct!,0,9,9,17,1,t1.png,t4.png,3,0.0000131,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.18741,Correct!,0,10,10,109,1,t5.png,t5.png,0,0.97829,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.87139,Correct!,0,11,11,57,1,t2.png,t4.png,2,0.059078,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.88784,Incorrect,0,12,12,56,1,t5.png,t1.png,4,9.55E-11,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.085595,Correct!,0,13,13,32,1,t4.png,t5.png,1,0.90025,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.80465,Correct!,0,14,14,25,1,t5.png,t5.png,0,0.97829,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.104165,Correct!,0,15,15,22,1,t2.png,t3.png,1,0.90855,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.017585,Correct!,0,16,16,11,1,t1.png,t4.png,3,0.0000131,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.468115,Incorrect,0,17,17,10,1,t2.png,t3.png,1,0.90855,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.986535,Correct!,0,18,18,114,1,t2.png,t3.png,1,0.90855,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.766885,Correct!,0,19,19,89,1,t1.png,t4.png,3,0.0000131,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.782685,Incorrect,0,20,20,102,1,t4.png,t2.png,2,0.059078,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.96772,Incorrect,0,21,21,48,1,t5.png,t5.png,0,0.97829,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.61724,Correct!,0,22,22,98,1,t2.png,t4.png,2,0.0591,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.816995,Correct!,0,23,23,90,1,t1.png,t5.png,4,9.55E-11,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.75019,Correct!,0,24,24,92,1,t2.png,t3.png,1,0.909,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.73459,Incorrect,0,25,25,105,1,t3.png,t2.png,1,0.90855,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.88347,Incorrect,0,26,26,47,1,t4.png,t2.png,2,0.059078,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.620515,Correct!,0,27,27,36,1,t3.png,t1.png,2,0.0565,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.37088,Correct!,0,28,28,58,1,t5.png,t4.png,1,0.90025,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.183525,Correct!,0,29,29,51,1,t3.png,t1.png,2,0.056466,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.717,Correct!,0,30,30,62,1,t5.png,t5.png,0,0.978,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.16768,Correct!,0,31,31,65,1,t4.png,t5.png,1,0.90025,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.717205,Incorrect,0,32,32,106,1,t2.png,t3.png,1,0.90855,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.96599,Correct!,0,33,33,28,1,t2.png,t3.png,1,0.909,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.62221,Correct!,0,34,34,117,1,t1.png,t5.png,4,9.55E-11,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.686375,Incorrect,0,35,35,4,1,t1.png,t5.png,4,9.55E-11,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.46891,Correct!,0,36,36,60,1,t2.png,t4.png,2,0.059078,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.36968,Correct!,0,37,37,24,1,t4.png,t2.png,2,0.059078,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.15547,Incorrect,0,38,38,18,1,t4.png,t5.png,1,0.90025,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.649565,Correct!,0,39,39,16,1,t5.png,t4.png,1,0.9,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.43504,Incorrect,0,40,40,78,1,t1.png,t1.png,0,0.978,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.565035,Incorrect,0,41,41,14,1,t2.png,t4.png,2,0.059078,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.451345,Incorrect,0,42,42,39,1,t3.png,t2.png,1,0.90855,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.570095,Incorrect,0,43,43,111,1,t5.png,t1.png,4,9.55E-11,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.499205,Correct!,0,44,44,53,1,t3.png,t1.png,2,0.056466,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.46704,Incorrect,0,45,45,20,1,t2.png,t3.png,1,0.90855,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.615775,Correct!,0,46,46,116,1,t5.png,t4.png,1,0.90025,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.784355,Correct!,0,47,47,61,1,t1.png,t4.png,3,0.0000131,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,2.04985,Correct!,0,48,48,55,1,t2.png,t4.png,2,0.059078,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.03285,Correct!,0,49,49,34,1,t5.png,t4.png,1,0.9,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,2.334465,Correct!,0,50,50,79,1,t3.png,t2.png,1,0.909,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.984335,Correct!,0,51,51,31,1,t1.png,t5.png,4,9.55E-11,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.353125,Correct!,0,52,52,96,1,t1.png,t1.png,0,0.97829,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,2.168625,Correct!,0,53,53,67,1,t1.png,t5.png,4,9.55E-11,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.08593,Correct!,0,54,54,70,1,t5.png,t5.png,0,0.978,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.568045,Correct!,0,55,55,5,1,t2.png,t4.png,2,0.059078,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
