letter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,l2b.started,l2b.stopped,cross_3.started,cross_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,age,gender,date,expName,psychopyVersion,frameRate,
6,0,0,0,16,29.85450449999189,30.366924200032372,30.19978180003818,None,space,0.42422590003116056,29.85450449999189,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
7,0,1,1,5,31.671109099988826,32.183297400013544,32.166107000026386,None,None,,31.671109099988826,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
7,0,2,2,17,33.58264869998675,34.0827888000058,34.065896400017664,35.56671730004018,None,,33.58264869998675,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
7,0,3,3,19,35.58329370000865,36.08355450001545,36.06667590001598,37.5661628000089,space,0.4255354999913834,35.58329370000865,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
7,0,4,4,10,37.5824491000385,38.08269740000833,38.066106499987654,39.56587029999355,space,0.7433649000013247,37.5824491000385,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
1,0,5,5,33,39.592604300007224,40.098972300009336,40.08338060003007,None,None,,39.592604300007224,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
4,0,6,6,7,41.5917308999924,42.09884360001888,42.08221500000218,None,None,,41.5917308999924,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
6,0,7,7,18,43.58465490001254,44.09863309998764,44.065503099991474,45.56557640002575,None,,43.58465490001254,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
6,0,8,8,27,45.58196370000951,46.08202590001747,46.06687380000949,None,None,,45.58196370000951,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
4,0,9,9,9,47.58427779999329,48.09857229999034,48.06499149999581,49.56514670001343,None,,47.58427779999329,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
1,0,10,10,34,49.58447340002749,50.09831920004217,50.06497320003109,51.56498319999082,None,,49.58447340002749,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
6,0,11,11,26,51.58416239998769,52.09817800001474,52.06562410003971,53.56492370000342,None,,51.58416239998769,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
5,0,12,12,30,53.590263699996285,54.09793540003011,54.08138099999633,None,None,,53.590263699996285,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
7,0,13,13,3,55.58544900000561,56.09792520001065,56.0645429000142,57.564426700002514,None,,55.58544900000561,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
