letter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,l2b.started,l2b.stopped,cross_3.started,cross_3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,key_resp_5.rt,age,gender,date,expName,psychopyVersion,frameRate,
7,0,0,0,17,10.007677100016735,10.5115141000133,10.476780700031668,None,None,10.007677100016735,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
2,0,1,1,29,11.971460800035857,12.477785800001584,12.460028900008183,None,None,11.971460800035857,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
6,0,2,2,22,13.966187199985143,14.476794700021856,14.460485299990978,None,None,13.966187199985143,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
6,0,3,3,18,15.963907700031996,16.476336000021547,16.459747500019148,None,None,15.963907700031996,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
5,0,4,4,24,17.959602500020992,18.46156810002867,18.46156810002867,None,None,17.959602500020992,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
5,0,5,5,4,19.969268499989994,20.476056499988772,20.46004279999761,None,None,19.969268499989994,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
7,0,6,6,8,21.95790710003348,22.459356900013518,22.426064500003122,23.926184999989346,None,21.95790710003348,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
1,0,7,7,21,23.961993100005202,24.475958800001536,24.44163529999787,25.942558799986728,None,23.961993100005202,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
4,0,8,8,9,25.96758709999267,26.475673000037204,26.459150000009686,None,None,25.96758709999267,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
6,0,9,9,0,27.96845939999912,28.475580400030594,28.458959300012793,None,None,27.96845939999912,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
1,0,10,10,34,29.96160440001404,30.47560230002273,30.442073600017466,31.942040399997495,None,29.96160440001404,None,,,,2020_Jul_15_1302,torte,2020.1.3,59.840501132888754,
