key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,1.08903,space,0.001325,space,0.04593,space,0.461605,space,4.118,space,0.74118,,Too slow :(,0,0,0,43,1,t4.png,t2.png,2,0.059078,20,Female,2020-11-15_17h29.18.943,torte-q,2020.1.3,MacIntel,60,13281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,1,1,77,1,t1.png,t1.png,0,0.97829,20,Female,2020-11-15_17h29.18.943,torte-q,2020.1.3,MacIntel,60,13281,0.221105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,2,2,64,1,t1.png,t1.png,0,0.978,20,Female,2020-11-15_17h29.18.943,torte-q,2020.1.3,MacIntel,60,13281,1.38453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,3,3,32,1,t4.png,t5.png,1,0.90025,20,Female,2020-11-15_17h29.18.943,torte-q,2020.1.3,MacIntel,60,13281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,4,4,50,1,t5.png,t1.png,4,9.55E-11,20,Female,2020-11-15_17h29.18.943,torte-q,2020.1.3,MacIntel,60,13281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,5,5,45,1,t3.png,t2.png,1,0.90855,20,Female,2020-11-15_17h29.18.943,torte-q,2020.1.3,MacIntel,60,13281,0.540975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,6,6,16,1,t5.png,t4.png,1,0.9,20,Female,2020-11-15_17h29.18.943,torte-q,2020.1.3,MacIntel,60,13281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,7,7,54,1,t1.png,t5.png,4,9.55E-11,20,Female,2020-11-15_17h29.18.943,torte-q,2020.1.3,MacIntel,60,13281,0.75597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,8,8,66,1,t4.png,t5.png,1,0.9,20,Female,2020-11-15_17h29.18.943,torte-q,2020.1.3,MacIntel,60,13281,1.616425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,9,9,46,1,t4.png,t2.png,2,0.059078,20,Female,2020-11-15_17h29.18.943,torte-q,2020.1.3,MacIntel,60,13281,2.374445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,10,10,87,1,t5.png,t1.png,4,9.55E-11,20,Female,2020-11-15_17h29.18.943,torte-q,2020.1.3,MacIntel,60,13281,1.39776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,11,11,82,1,t5.png,t1.png,4,9.55E-11,20,Female,2020-11-15_17h29.18.943,torte-q,2020.1.3,MacIntel,60,13281,0.7985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,12,12,62,1,t5.png,t5.png,0,0.978,20,Female,2020-11-15_17h29.18.943,torte-q,2020.1.3,MacIntel,60,13281,0.589465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,13,13,25,1,t5.png,t5.png,0,0.97829,20,Female,2020-11-15_17h29.18.943,torte-q,2020.1.3,MacIntel,60,13281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,14,14,8,1,t3.png,t2.png,1,0.90855,20,Female,2020-11-15_17h29.18.943,torte-q,2020.1.3,MacIntel,60,13281,1.68839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,15,15,41,1,t3.png,t2.png,1,0.90855,20,Female,2020-11-15_17h29.18.943,torte-q,2020.1.3,MacIntel,60,13281,1.49962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
