key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,10.34227,space,3.15843,space,4.241275,space,7.880775,space,35.455965,space,46.24135,l,1.63991,Correct!,0,0,0,40,1,t1.png,t5.png,4,9.55E-11,19,Female,2020-10-14_11h30.49.454,torte-q,2020.1.3,Win32,60,13285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.624565,Incorrect,0,1,1,41,1,t3.png,t2.png,1,0.90855,19,Female,2020-10-14_11h30.49.454,torte-q,2020.1.3,Win32,60,13285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.691885,Correct!,0,2,2,99,1,t1.png,t5.png,4,9.55E-11,19,Female,2020-10-14_11h30.49.454,torte-q,2020.1.3,Win32,60,13285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.459875,Incorrect,0,3,3,12,1,t5.png,t1.png,4,9.55E-11,19,Female,2020-10-14_11h30.49.454,torte-q,2020.1.3,Win32,60,13285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.33332,Correct!,0,4,4,31,1,t1.png,t5.png,4,9.55E-11,19,Female,2020-10-14_11h30.49.454,torte-q,2020.1.3,Win32,60,13285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.458155,Incorrect,0,5,5,81,1,t1.png,t1.png,0,0.97829,19,Female,2020-10-14_11h30.49.454,torte-q,2020.1.3,Win32,60,13285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,6,6,23,1,t5.png,t4.png,1,0.90025,19,Female,2020-10-14_11h30.49.454,torte-q,2020.1.3,Win32,60,13285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.10079,Incorrect,0,7,7,86,1,t3.png,t1.png,2,0.056466,19,Female,2020-10-14_11h30.49.454,torte-q,2020.1.3,Win32,60,13285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.82651,Correct!,0,8,8,76,1,t3.png,t2.png,1,0.90855,19,Female,2020-10-14_11h30.49.454,torte-q,2020.1.3,Win32,60,13285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.422085,Correct!,0,9,9,84,1,t1.png,t1.png,0,0.97829,19,Female,2020-10-14_11h30.49.454,torte-q,2020.1.3,Win32,60,13285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
